Nombre Universidad;Código;País
TECHNISCHE UNIVERSITÄT WIEN;A WIEN02;AUSTRIA
TECHNIKUM WIEN;A WIEN20;AUSTRIA
TECHNISCHE UNIVERSITÄT BERLIN;D BERLIN02;ALEMANIA
TECHNISCHE UNIVERSITÄT CAROLO-WILHELMINA ZU BRAUNSCHWEIG;D BRAUNSC01;ALEMANIA
UNIVERSITÄT BREMEN;D BREMEN01;ALEMANIA
TECHNISCHE UNIVERSITÄT DARMSTADT;D DARMSTA01;ALEMANIA
HOCHSCHULE FÜR TECHNIK UND WIRTSCHAFT DRESDEN;D DRESDEN01;ALEMANIA
FRIEDRICH-ALEXANDER-UNIVERSITÄT ERLANGEN-NÜRNBERG;D ERLANGE01;ALEMANIA
FACHHOCHSCHULE FURTWANGEN;D FURTWAN01;ALEMANIA
TECHNISCHE UNIVERSITÄT HAMBURG-HARBURG;D HAMBURG03;ALEMANIA
LEIBNIZ UNIVERSITÄT HANNOVER;D HANNOVE01;ALEMANIA
FACHHOCHSCHULE WESTKÜSTE;D HEIDE01;ALEMANIA
KARLSRUHER INSTITUT FUER TECHNOLOGIE - KIT;D KARLSRU01;ALEMANIA
UNIVERSITÄT KASSEL;D KASSEL01;ALEMANIA
TECHNISCHE HOCHSCHULE KÖLN;D KOLN04;ALEMANIA
OTTO-VON-GUERICKE-UNIVERSITÄT MAGDEBURG;D MAGDEBU01;ALEMANIA
TECHNISCHE UNIVERSITÄT MÜNCHEN;D MUNCHEN02;ALEMANIA
UNIVERSITÄT STUTTGART;D STUTTGA01;ALEMANIA
UNIVERSITÄT ULM;D ULM01;ALEMANIA
UNIVERSITE DE LIEGE;B LIEGE01;BÉLGICA
UNIVERSITE CATHOLIQUE DE LOUVAIN;B LOUVAIN01;BÉLGICA
 HAUTE ÉCOLE SPÉCIALISÉE DE SUISSE OCCIDENTALE;CH DELEMON01;SUIZA
Institut Polytechnique de Bordeaux (Bordeaux Institute of Technology);F BORDEAU54;FRANCIA
ECOLE NATIONALE SUPERIEURE D`INGENIEURS DE CAEN;F CAEN05;FRANCIA
ECOLE NATIONALE SUPERIEURE DE L`ELECTRONIQUE ET DE SES APPLICATIONS;F CERGY01;FRANCIA
TELECOM & MANAGEMENT SUD PARIS;F EVRY01;FRANCIA
ECOLE SUPERIEURE D`ELECTRICITE CENTRALE SUPELEC;F GIF-YVE02;FRANCIA
UNIVERSITE DU MAINE;F LE-MANS01;FRANCIA
IMT Lille Douai École Mines-Télécom IMT-Université de Lille;F LILLE91;FRANCIA
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON;F LYON12;FRANCIA
IMT Atlantique Bretagne-Pays de la Loire École Mines-Télécom;F NANTES80;FRANCIA
TÉLÉCOM PARISTECH-ECOLE NATIONALE SUPERIEURE DES TELECOMMUNICATIONS;F PARIS083;FRANCIA
ECOLE CENTRALE D`ELECTRONIQUE;F PARIS222;FRANCIA
UNIVERSITE DE MARNE-LA-VALLEE;F PARIS225;FRANCIA
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE RENNES;F RENNES10;FRANCIA
INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE;F TOULOUS28;FRANCIA
UNIVERSITEIT ANTWERPEN;B ANTWERP01;BÉLGICA
VRIJE UNIVERSITEIT BRUSSEL;B BRUSSEL01;BÉLGICA
UNIVERSITEIT GENT;B GENT01;BÉLGICA
KATHOLIEKE UNIVERSITEIT LEUVEN;B LEUVEN01;BÉLGICA
RUSENSKI UNIVERSITET ANGEL KUNCHEV;BG ROUSSE01;BULGARIA
TEHNICHESKI UNIVERSITET SOFIA;BG SOFIA16;BULGARIA
KOLEZH PO TELEKOMUNIKATSII I POSHTI;BG SOFIA28;BULGARIA
VYSOKÉ UCENÍ TECHNICKÉ V BRNE;CZ BRNO01;REPÚBLICA CHECA
VYSOKA SKOLA BANSKA - TECHNICKA UNIVERZITA OSTRAVA;CZ OSTRAVA01;REPÚBLICA CHECA
CESKÉ VYSOKÉ UCENI TECHNICKÉ V PRAZE;CZ PRAHA10;REPÚBLICA CHECA
ETHNIKO METSOVIO POLYTECHNIO (E.M.P);G ATHINE02;GRECIA
University of Dubrovnik;HR DUBROVN01;CROACIA
SVEUCILISTE U ZAGREBU;HR ZAGREB01;CROACIA
BUDAPESTI MÛSZAKI ÉS GAZDASAGTUDOMANYI EGYETEM;HU BUDAPES02;HUNGRÍA
DEBRECENI EGYETEM;HU DEBRECE01;HUNGRÍA
SZÉCHENYI ISTVÁN EGYETEM;HU GYOR01;HUNGRÍA
UNIVERSITÀ DI BOLOGNA;I BOLOGNA01;ITALIA
UNIVERSITÀ DEGLI STUDI DI BRESCIA;I BRESCIA01;ITALIA
UNIVERSITÀ DEGLI STUDI DI CAGLIARI;I CAGLIAR01;ITALIA
UNIVERSITÀ DELLA CALABRIA;I COSENZA01;ITALIA
POLITECNICO DI MILANO;I MILANO02;ITALIA
UNIVERSITÀ DEGLI STUDI DI PALERMO;I PALERMO01;ITALIA
UNIVERSITÀ DEGLI STUDI DI PARMA;I PARMA01;ITALIA
UNIVERSITÀ DEGLI STUDI DI PERUGIA;I PERUGIA01;ITALIA
UNIVERSITÀ DEGLI STUDI DI ROMA `TOR VERGATA`;I ROMA02;ITALIA
UNIVERSITÀ DEGLI STUDI DI SALERNO;I SALERNO01;ITALIA
UNIVERSITÀ DEGLI STUDI DI SIENA;I SIENA01;ITALIA
POLITECNICO DI TORINO;I TORINO02;ITALIA
TECHNOLOGICAL UNIVERSITY DUBLIN;IRL DUBLIN44;IRLANDA
HØGSKULEN  PÅ VESTLANDET (HVL)-Antigua Hogskolen i Bergen;N BERGEN14;NORUEGA
UNIVERSITET I STAVANGER;N STAVANG01;NORUEGA
UNIVERSITETET I TROMSØ;N TROMSO01;NORUEGA
NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU;N TRONDHE01;NORUEGA
TECHNISCHE UNIVERSITEIT EINDHOVEN;NL EINDHOV17;HOLANDA
UNIVERSIDADE DO LISBOA;P LISBOA109;PORTUGAL
UNIVERSIDADE DO PORTO;P PORTO02;PORTUGAL
UNIWERSYTET TECHNOLOGICZNO PRZYRODINICZY;PL BYDGOSZ02;POLONIA
POLITECHNIKA GDANSKA;PL GDANSK02;POLONIA
AKADEMIA GÓRNICZO-HUTNICZA;PL KRAKOW02;POLONIA
POLITECHNIKA LODZKA;PL LODZ02;POLONIA
POLITECHNIKA WARSZAWSKA;PL WARSZAW02;POLONIA
WOJSKOWA AKADEMIA TECHNICZNA;PL WARSZAW33;POLONIA
"UNIVERSITATEA TEHNICA ""GHEORGHE ASACHI"" DIN IASI";RO IASI05;RUMANIA
UNIVERSITATEA DIN ORADEA;RO ORADEA01;RUMANIA
UNIVERSITY OF NIS;RS NIS01;SERBIA
HÖGSKOLAN I GÄVLE;S GAVLE01;SUECIA
KUNGL TEKNISKA HÖGSKOLAN;S STOCKHO04;SUECIA
AALTO-YLIOPISTO (AALTO-KORKEAKOULUSÄÄTIÖ);SF ESPOO12;FINLANDIA
OULUN YLIOPISTO;SF OULU01;FINLANDIA
TURUN AMMATTIKORKEAKOULU (TUAS) - ÅBO YRKESHÖGSKOLA;SF TURKU05;FINLANDIA
UNIVERZA V LJUBLJANI;SI LJUBLJA01;ESLOVENIA
UNIVERZA V MARIBORU;SI MARIBOR01;ESLOVENIA
TECHNICKÁ UNIVERZITA V KOSICIACH;SK KOSICE03;ESLOVAQUIA
ZILINSKÁ UNIVERZITA V ZILINE;SK ZILINA01;ESLOVAQUIA
UNIWERSYTET WROCLAWSKI;PL WROCLAW01;POLONIA
;;
TOTAL GITST/MASTER;0;
TOTAL SOLO GRADO;0;
TOTAL SOLO MASTER;0;
TOTAL GTDM;0;
TOTAL GIF;0;
TOTAL GMAT;0;
PLAZAS TOTALES;0;
